,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,params_rank2,state
0,0,0.10309568737856721,2023-06-16 08:32:06.131757,2023-06-16 08:45:44.383356,0 days 00:13:38.251599,1024,0.001,0.05,64,128,COMPLETE
1,1,0.10494278529980187,2023-06-16 08:45:44.384175,2023-06-16 08:53:13.268369,0 days 00:07:28.884194,1024,0.01,0.0005,64,128,COMPLETE
2,2,0.07503579579045629,2023-06-16 08:53:13.269057,2023-06-16 09:08:52.355744,0 days 00:15:39.086687,512,0.001,0.005,64,128,COMPLETE
3,3,0.10476892886824513,2023-06-16 09:08:52.356596,2023-06-16 09:14:35.784042,0 days 00:05:43.427446,2048,1e-05,0.001,128,64,COMPLETE
4,4,0.10297425803889958,2023-06-16 09:14:35.784744,2023-06-16 09:24:32.719822,0 days 00:09:56.935078,2048,0.1,0.0001,64,128,COMPLETE
5,5,0.09601622756459607,2023-06-16 09:24:32.720550,2023-06-16 09:39:50.905890,0 days 00:15:18.185340,512,0.001,0.005,64,64,COMPLETE
6,6,0.12851168655041595,2023-06-16 09:39:50.906575,2023-06-16 10:45:58.630215,0 days 01:06:07.723640,256,0.001,0.001,128,128,COMPLETE
7,7,0.06610150254509282,2023-06-16 10:45:58.631120,2023-06-16 11:09:37.248682,0 days 00:23:38.617562,256,0.1,0.05,64,32,COMPLETE
8,8,0.12420053668570907,2023-06-16 11:09:37.249439,2023-06-16 11:44:16.892903,0 days 00:34:39.643464,512,0.001,0.001,64,128,COMPLETE
9,9,0.09109684080163631,2023-06-16 11:44:16.893748,2023-06-16 11:59:12.361521,0 days 00:14:55.467773,512,0.001,0.1,64,32,COMPLETE
10,10,0.07126654561436366,2023-06-16 11:59:12.362238,2023-06-16 12:19:27.526480,0 days 00:20:15.164242,256,0.0001,0.01,32,64,COMPLETE
11,11,0.12851168655041595,2023-06-16 12:19:27.527173,2023-06-16 13:25:36.286478,0 days 01:06:08.759305,256,0.001,0.001,128,128,COMPLETE
12,12,0.11880224012701245,2023-06-16 13:25:36.287226,2023-06-16 14:05:03.466447,0 days 00:39:27.179221,256,1e-05,0.001,128,128,COMPLETE
13,13,0.10486628124943594,2023-06-16 14:05:03.467278,2023-06-16 14:35:10.378980,0 days 00:30:06.911702,256,0.01,0.001,128,128,COMPLETE
14,14,0.12851168655041595,2023-06-16 14:35:10.379703,2023-06-16 15:42:15.292936,0 days 01:07:04.913233,256,0.001,0.001,128,128,COMPLETE
15,15,0.12295356034173771,2023-06-16 15:42:15.293672,2023-06-16 16:10:05.073601,0 days 00:27:49.779929,256,0.0001,0.0001,128,32,COMPLETE
16,16,0.06869712243792761,2023-06-16 16:10:05.074453,2023-06-16 16:31:19.670146,0 days 00:21:14.595693,256,0.001,0.1,32,128,COMPLETE
17,17,0.09787239271636265,2023-06-16 16:31:19.670864,2023-06-16 16:54:27.618703,0 days 00:23:07.947839,256,0.001,0.01,128,128,COMPLETE
18,18,0.12089889734534802,2023-06-16 16:54:27.619347,2023-06-16 17:04:25.426112,0 days 00:09:57.806765,1024,0.01,0.0005,128,32,COMPLETE
19,19,0.11854789117463005,2023-06-16 17:04:25.426760,2023-06-16 17:10:41.305772,0 days 00:06:15.879012,2048,0.1,0.001,32,64,COMPLETE
20,20,0.09082506857239576,2023-06-16 17:10:41.306416,2023-06-16 17:36:14.108844,0 days 00:25:32.802428,256,0.0001,0.001,128,128,COMPLETE
21,21,0.12851168655041595,2023-06-16 17:36:14.109574,2023-06-16 18:51:00.870657,0 days 01:14:46.761083,256,0.001,0.001,128,128,COMPLETE
22,22,0.12851168655041595,2023-06-16 18:51:00.871359,2023-06-16 20:02:54.416315,0 days 01:11:53.544956,256,0.001,0.001,128,128,COMPLETE
23,23,0.12851168655041595,2023-06-16 20:02:54.417025,2023-06-16 21:15:28.743166,0 days 01:12:34.326141,256,0.001,0.001,128,128,COMPLETE
24,24,0.12851168655041595,2023-06-16 21:15:28.743874,2023-06-16 22:27:42.648522,0 days 01:12:13.904648,256,0.001,0.001,128,128,COMPLETE
25,25,0.11880224012701245,2023-06-16 22:27:42.649244,2023-06-16 23:11:11.900668,0 days 00:43:29.251424,256,1e-05,0.001,128,128,COMPLETE
26,26,0.11712546823539635,2023-06-16 23:11:11.901438,2023-06-16 23:51:56.045392,0 days 00:40:44.143954,256,0.001,0.0001,128,128,COMPLETE
27,27,0.11210209701689454,2023-06-16 23:51:56.046137,2023-06-17 00:00:48.916701,0 days 00:08:52.870564,1024,0.001,0.01,32,64,COMPLETE
28,28,0.11274416474990487,2023-06-17 00:00:48.917366,2023-06-17 00:10:27.340953,0 days 00:09:38.423587,2048,0.001,0.005,128,128,COMPLETE
29,29,0.09599776534380344,2023-06-17 00:10:27.341644,2023-06-17 00:25:59.602438,0 days 00:15:32.260794,1024,0.001,0.05,128,32,COMPLETE
30,30,0.10839195102278705,2023-06-17 00:25:59.603159,2023-06-17 01:02:07.623030,0 days 00:36:08.019871,256,0.0001,0.0005,128,128,COMPLETE
31,31,0.12851168655041595,2023-06-17 01:02:07.623756,2023-06-17 02:14:28.439448,0 days 01:12:20.815692,256,0.001,0.001,128,128,COMPLETE
32,32,0.12851168655041595,2023-06-17 02:14:28.440219,2023-06-17 03:26:13.567234,0 days 01:11:45.127015,256,0.001,0.001,128,128,COMPLETE
33,33,0.10486628124943594,2023-06-17 03:26:13.567911,2023-06-17 03:59:27.023701,0 days 00:33:13.455790,256,0.01,0.001,128,128,COMPLETE
34,34,0.08582028048053096,2023-06-17 03:59:27.024446,2023-06-17 04:31:49.513869,0 days 00:32:22.489423,256,0.001,0.1,128,128,COMPLETE
35,35,0.11569116627438658,2023-06-17 04:31:49.514695,2023-06-17 04:42:53.498551,0 days 00:11:03.983856,1024,1e-05,0.001,128,128,COMPLETE
36,36,0.0,2023-06-17 04:42:53.499306,2023-06-17 04:55:04.965803,0 days 00:12:11.466497,512,0.001,0.05,128,128,COMPLETE
37,37,0.08827889945263036,2023-06-17 04:55:04.966701,2023-06-17 05:01:13.381267,0 days 00:06:08.414566,2048,0.1,0.005,32,128,COMPLETE
38,38,0.11450190378774773,2023-06-17 05:01:13.381964,2023-06-17 05:46:11.727401,0 days 00:44:58.345437,256,0.001,0.001,128,64,COMPLETE
39,39,0.11981204428179829,2023-06-17 05:46:11.728139,2023-06-17 06:54:34.492980,0 days 01:08:22.764841,256,0.001,0.0005,64,128,COMPLETE
